0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,396,328,309,302,300,7,3,2,2,1,0,1,1,1,1
2,362,300,283,276,275,6,3,2,2,1,0,1,1,1,1
3,336,279,263,256,255,5,3,2,1,1,0,1,1,1,1
4,409,340,324,313,308,7,4,3,2,1,0,0,0,1,1
5,353,293,276,269,267,6,3,2,2,1,0,1,1,1,1
6,414,345,334,320,309,7,4,3,2,1,0,0,0,1,1
7,333,276,261,255,255,5,2,2,1,1,0,1,1,1,0
8,436,363,351,336,325,9,5,4,2,2,0,0,0,1,1
9,424,353,341,327,317,9,5,4,2,2,0,0,0,1,1
10,433,361,349,334,324,9,5,4,2,2,0,0,0,1,1
11,358,297,280,273,272,6,3,2,2,1,0,1,1,1,1
12,343,285,268,262,260,6,3,2,1,1,0,1,1,1,1
13,324,268,253,247,248,3,2,1,1,1,1,1,1,0,0
14,351,291,274,268,266,6,3,2,2,1,0,1,1,1,1
15,330,274,258,252,253,4,2,1,1,1,0,1,1,1,0
16,430,359,346,332,321,9,5,4,2,2,0,0,0,1,1
17,417,348,336,322,312,9,5,4,2,2,0,0,0,1,1
18,419,349,337,323,313,9,5,4,2,2,0,0,0,1,1
19,377,313,295,287,286,7,3,2,2,1,0,1,1,1,1
20,383,317,299,292,290,7,3,2,2,1,0,1,1,1,1
21,386,321,302,295,293,7,3,2,2,1,0,1,1,1,1
22,421,351,339,324,314,9,5,4,2,2,0,0,0,1,1
23,368,305,287,280,279,6,3,2,2,1,0,1,1,1,1
24,432,360,348,334,323,9,5,4,2,2,0,0,0,1,1
25,388,322,303,296,294,7,3,2,2,1,0,1,1,1,1
26,375,311,293,286,284,7,3,2,2,1,0,1,1,1,1
27,423,352,340,326,316,9,5,4,2,2,0,0,0,1,1
28,435,362,350,335,325,9,5,4,2,2,0,0,0,1,1
29,336,278,262,256,255,5,3,2,1,1,0,1,1,1,1
30,335,278,262,256,257,5,2,2,1,1,0,1,1,1,0
31,373,310,292,285,283,6,3,2,2,1,0,1,1,1,1
32,335,278,262,256,256,5,2,2,1,1,0,1,1,1,1
33,335,278,262,256,256,5,3,2,1,1,0,1,1,1,1
34,329,273,257,252,252,4,2,1,1,1,0,1,1,1,0
35,360,299,281,275,273,6,3,2,2,1,0,1,1,1,1
36,369,307,289,282,280,6,3,2,2,1,0,1,1,1,1
37,394,327,308,300,299,7,3,2,2,1,0,1,1,1,1
38,416,347,335,321,311,8,5,4,2,2,0,0,0,1,1
39,327,271,255,250,250,4,2,1,1,1,0,1,1,1,0
40,399,331,312,305,303,7,4,3,2,1,0,1,1,1,1
41,397,330,311,303,301,7,4,2,2,1,0,1,1,1,1
42,332,275,259,253,254,4,2,1,1,1,0,1,1,1,0
43,328,272,257,251,252,4,2,1,1,1,0,1,1,1,0
44,325,269,254,248,249,3,2,1,1,1,1,1,1,0,0

