0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,397,330,311,303,301,7,4,2,2,1,0,1,1,1,1
2,335,278,262,256,256,5,2,2,1,1,0,1,1,1,1
3,324,269,254,248,248,3,2,1,1,1,1,1,1,0,0
4,364,302,284,278,276,6,3,2,2,1,0,1,1,1,1
5,436,363,351,336,325,9,5,4,2,2,0,0,0,1,1
6,336,279,263,256,255,5,3,2,1,1,0,1,1,1,1
7,432,360,348,334,323,9,5,4,2,2,0,0,0,1,1
8,328,272,257,251,252,4,2,1,1,1,0,1,1,1,0
9,381,316,298,290,289,7,3,2,2,1,0,1,1,1,1
10,356,296,279,272,270,6,3,2,2,1,0,1,1,1,1
11,325,269,254,248,249,3,2,1,1,1,1,1,1,0,0
12,334,277,261,255,256,5,2,2,1,1,0,1,1,1,0
13,353,293,276,269,267,6,3,2,2,1,0,1,1,1,1
14,424,353,341,327,317,9,5,4,2,2,0,0,0,1,1
15,415,346,334,320,310,8,5,4,2,2,0,0,0,1,1
16,433,361,349,334,324,9,5,4,2,2,0,0,0,1,1
17,384,319,300,293,291,7,3,2,2,1,0,1,1,1,1
18,355,294,277,270,269,6,3,2,2,1,0,1,1,1,1
19,338,280,264,258,256,6,3,2,1,1,0,1,1,1,1
20,375,311,293,286,284,7,3,2,2,1,0,1,1,1,1
21,390,324,305,297,296,7,3,2,2,1,0,1,1,1,1
22,388,322,303,296,294,7,3,2,2,1,0,1,1,1,1
23,345,286,270,263,262,6,3,2,2,1,0,1,1,1,1
24,324,268,253,247,248,3,2,1,1,1,1,1,1,0,0
25,394,327,308,300,299,7,3,2,2,1,0,1,1,1,1
26,416,347,335,321,311,8,5,4,2,2,0,0,0,1,1
27,386,321,302,295,293,7,3,2,2,1,0,1,1,1,1
28,358,297,280,273,272,6,3,2,2,1,0,1,1,1,1
29,417,348,336,322,312,9,5,4,2,2,0,0,0,1,1
30,379,314,296,289,287,7,3,2,2,1,0,1,1,1,1
31,425,354,342,328,317,9,5,4,2,2,0,0,0,1,1
32,333,276,260,254,255,5,2,2,1,1,0,1,1,1,0
33,422,351,340,325,315,9,5,4,2,2,0,0,0,1,1
34,406,337,320,310,307,7,4,3,2,1,0,0,0,1,1
35,335,278,262,256,256,5,3,2,1,1,0,1,1,1,1
36,411,342,329,316,308,7,4,3,2,1,0,0,0,1,1
37,377,313,295,287,286,7,3,2,2,1,0,1,1,1,1
38,341,283,267,260,259,6,3,2,1,1,0,1,1,1,1
39,414,345,334,320,309,7,4,3,2,1,0,0,0,1,1
40,430,359,346,332,321,9,5,4,2,2,0,0,0,1,1
41,423,352,340,326,316,9,5,4,2,2,0,0,0,1,1
42,332,275,259,253,254,4,2,1,1,1,0,1,1,1,0
43,340,282,265,259,258,6,3,2,1,1,0,1,1,1,1
44,343,285,268,262,260,6,3,2,1,1,0,1,1,1,1
45,360,299,281,275,273,6,3,2,2,1,0,1,1,1,1
46,351,291,274,268,266,6,3,2,2,1,0,1,1,1,1
47,429,358,346,331,321,9,5,4,2,2,0,0,0,1,1
48,371,308,290,283,282,6,3,2,2,1,0,1,1,1,1
49,420,350,338,324,313,9,5,4,2,2,0,0,0,1,1
50,369,307,289,282,280,6,3,2,2,1,0,1,1,1,1
51,329,273,257,252,252,4,2,1,1,1,0,1,1,1,0
52,331,274,259,253,253,4,2,1,1,1,0,1,1,1,0
53,333,276,261,255,255,5,2,2,1,1,0,1,1,1,0
54,326,270,255,249,250,3,2,1,1,1,1,1,1,0,0
55,366,303,286,279,277,6,3,2,2,1,0,1,1,1,1
56,421,351,339,324,314,9,5,4,2,2,0,0,0,1,1
57,428,357,345,330,320,9,5,4,2,2,0,0,0,1,1
58,373,310,292,285,283,6,3,2,2,1,0,1,1,1,1
59,427,356,344,329,319,9,5,4,2,2,0,0,0,1,1
60,368,305,287,280,279,6,3,2,2,1,0,1,1,1,1
61,435,362,350,335,325,9,5,4,2,2,0,0,0,1,1
62,396,328,309,302,300,7,3,2,2,1,0,1,1,1,1
63,431,359,347,333,322,9,5,4,2,2,0,0,0,1,1
64,362,300,283,276,275,6,3,2,2,1,0,1,1,1,1
65,328,271,256,250,251,4,2,1,1,1,0,1,1,1,0
66,347,288,271,265,263,6,3,2,2,1,0,1,1,1,1

